City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
515,Kankan,GN,73.2,broken clouds,10.3854,-9.3057,Hotel Bate
516,Guarapari,BR,71.49,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
518,Pitimbu,BR,75.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
521,Jati,PK,85.75,few clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
522,Kassala,SD,80.62,overcast clouds,15.451,36.4,Amassi Hotel Gash
523,Kalmunai,LK,84.87,broken clouds,7.4167,81.8167,VS Villa
525,Praia Da Vitoria,PT,72.75,overcast clouds,38.7333,-27.0667,Hotel Branco I
526,Yulara,AU,80.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
532,Namatanai,PG,85.05,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
534,Presidente Medici,BR,77.74,few clouds,-11.1753,-61.9014,Oliveira Palace Hotel
539,Saint-Georges,GD,81.77,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
540,Fukue,JP,77.56,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
544,Auki,SB,85.12,broken clouds,-8.7676,160.7034,Auki Motel
547,Touros,BR,77.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
548,Jacksonville,US,80.06,fog,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
554,Dauphin,CA,74.88,overcast clouds,51.1494,-100.0502,Canway Inn & Suites
555,Angoche,MZ,76.37,scattered clouds,-16.2325,39.9086,Guest House HESADA
560,Inhambane,MZ,71.22,overcast clouds,-23.865,35.3833,Oceano
561,Puerto Ayacucho,VE,76.51,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
562,Poso,ID,87.84,broken clouds,-1.3959,120.7524,Hotel 77 Poso
564,Malindi,KE,78.49,overcast clouds,-3.2175,40.1191,African House Resort
566,Naze,JP,77.95,light rain,28.3667,129.4833,オーベルジュ・アガルイ
569,Bhor,IN,79.48,overcast clouds,18.1667,73.85,Adventure Plus Resort & Park
570,Ariquemes,BR,75.42,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
572,Ranong,TH,78.08,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
574,Sibolga,ID,85.03,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
577,Along,IN,85.41,scattered clouds,28.1667,94.7667,Hotel West
578,Hadejia,NG,79.05,scattered clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
579,Statesboro,US,75.0,overcast clouds,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
581,Guerrero Negro,MX,70.3,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
584,Buchanan,LR,75.83,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
591,Dubbo,AU,73.53,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
593,Guanay,BO,71.29,overcast clouds,-15.4975,-67.8797,Hotel Ritzy
594,Les Cayes,HT,78.58,broken clouds,18.2,-73.75,Villa Orphee
596,Celestun,MX,80.28,broken clouds,20.8667,-90.4,Posada Lilia
598,Sinnamary,GF,79.54,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
601,Ilheus,BR,70.11,clear sky,-14.7889,-39.0494,Barravento Hotel
605,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
606,Christchurch,NZ,71.33,overcast clouds,-43.5333,172.6333,The George
607,San Ignacio,BZ,75.34,clear sky,17.1561,-89.0714,Rainforest Haven Inn
608,Aswan,EG,72.55,clear sky,24.0934,32.907,Nuba Nile
609,Jinxi,CN,79.47,few clouds,30.4323,116.2922,Jinling Hotel
613,Rosa Zarate,EC,72.07,light rain,0.3333,-79.4667,Piscinas y Recepciones Hecalash
615,Byron Bay,AU,84.31,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
618,Acapulco,MX,80.04,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
621,Yenagoa,NG,74.23,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
623,Tezu,IN,87.24,clear sky,27.9167,96.1667,Circuit House
624,Nara,JP,81.7,few clouds,34.6851,135.8049,Guesthouse Nara Komachi
626,Mbaiki,CF,70.27,light rain,3.8678,17.9892,Motel MBM
628,Lodwar,KE,83.43,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
629,Lashio,MM,80.29,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
630,Demerval Lobao,BR,81.81,overcast clouds,-5.3583,-42.6764,Pousada Da Paz
634,Samarai,PG,82.76,overcast clouds,-10.6167,150.6667,Nuli Sapi
637,Pozo Colorado,PY,70.43,broken clouds,-23.4923,-58.7972,Hospedaje la Amistad
639,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
640,Coruripe,BR,73.85,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
643,Kinshasa,CD,75.76,broken clouds,-4.3246,15.3215,Flat Hotel Alhdeef
644,Ibra,OM,79.79,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
646,Doba,TD,71.65,overcast clouds,8.65,16.85,Restaurant Auberge La Pétrolière
650,Ciudad Bolivar,VE,78.13,scattered clouds,8.1222,-63.5497,Hotel Edi
651,Buala,SB,85.35,light rain,-8.145,159.5921,Maringe Lagoon Lodge
654,Mahesana,IN,87.35,overcast clouds,23.6,72.4,ONGC Society
